"Instagram","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.75","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Cristiano Ronaldo","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Ariana Grande","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","1","0.25","0.5","0.5","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25"
"Selena Gomez","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75"
"The Rock","0.75","1","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"Kim Kardashian West","1","1","1","1","1","1","1","1","0.75","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Kylie Jenner","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Beyoncé","0.583333333333333","0.583333333333333","0.583333333333333","0.583333333333333","0.583333333333333","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","1","0.666666666666667","0.5","0.666666666666667","0.666666666666667","0.5","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","0.333333333333333","0.333333333333333","0.333333333333333","0.333333333333333"
"Taylor Swift","0.75","0.5","0.5","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","1","1","0.75","1","1","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75"
"Leo Messi","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.5","0.5","0.5","0.5","0.5","1","1","1","1","1","1","1","1","1","1","1","1"
"Neymar jr","1","1","1","1","1","1","1","1","1","1","1","1","1","0.75","0.75","0.75","0.75","1","1","1","1","1","1","1","1","1","1","1","1"
"Kendall Jenner","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.75","0.75","0.75","1","1","1","1","1","1","1","1","1","1","1","1"
"Justin Bieber","1","1","1","1","1","1","1","1","1","1","1","1","1","0.75","0.5","0.75","0.75","1","1","1","1","1","1","1","1","0.75","0.75","0.75","0.75"
"National Geographic","0.75","0.75","0.75","0.75","0.75","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.25"
"Barbie","0.5","0.5","0.5","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"Khloe Kardashian","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","1","1","1","1","1","1","0.75","0.75","0.75","0.75"
"Jennifer Lopez","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","1","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5"
"Miley Cyrus","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","1","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75","0.75"
"Nike","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.5","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
